Generation,evals,avg,std,min,max,best_one,fitness_best_one
56,356,[  7.         405.52627795],[0.         1.65645864],[  7.         401.77182639],[  7.         407.57739304],"[21, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 24, 20, 15, 19, 18, 16, 12, 14, 7, 1, 4, 2]","(7.0, 401.7718263910802)"
57,346,[  7.         404.07540354],[0.         1.20472014],[  7.         398.90925616],[  7.         405.91396201],"[25, 24, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 16, 19, 18, 15, 14, 12, 2, 1, 4, 7]","(7.0, 398.90925615603317)"
58,316,[  7.         403.03053111],[0.         0.74573182],[  7.         397.70476513],[  7.         403.53756202],"[25, 24, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 16, 19, 18, 15, 14, 12, 7, 4, 1, 2]","(7.0, 397.70476512873665)"
59,338,[  7.         402.56946604],[0.         0.99213753],[  7.         397.61531249],[  7.         403.37348075],"[25, 24, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 1, 4, 2]","(7.0, 397.6153124948855)"
60,340,[  7.         401.99409863],[0.         1.29508929],[  7.         397.60953743],[  7.         403.07154511],"[21, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 24, 20, 15, 19, 18, 16, 12, 14, 7, 4, 1, 2]","(7.0, 397.6095374332279)"
61,340,[  7.         400.95885392],[0.         1.30474432],[  7.         397.60953743],[  7.         401.77182639],"[21, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 24, 20, 15, 19, 18, 16, 12, 14, 7, 4, 1, 2]","(7.0, 397.6095374332279)"
62,352,[  7.         400.01652106],[0.         1.49844077],[  7.         393.45302354],[  7.         401.77182639],"[25, 24, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 2, 1, 4, 7]","(7.0, 393.4530235370332)"
63,360,[  7.         398.70700445],[0.       0.829642],[  7.         393.45302354],[  7.         399.93572231],"[25, 24, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 2, 1, 4, 7]","(7.0, 393.4530235370332)"
64,340,[  7.         398.16092754],[0.         0.90395387],[  7.         393.45302354],[  7.         398.90925616],"[25, 24, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 2, 1, 4, 7]","(7.0, 393.4530235370332)"
65,336,[  7.         397.49803887],[0.        0.8548568],[  7.         393.45302354],[  7.         398.26706854],"[25, 24, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 2, 1, 4, 7]","(7.0, 393.4530235370332)"
